id,verse,token,lemma,mood,number,NEG,RES,ACT,DUR,CONF,GNO,HAB,ITER,STAT,CON,TEL
638708,ROM 12.12,usþulandans,us-þulan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE
638711,ROM 12.12,haftjandans,haftjan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638715,ROM 12.13,gamainjandans,gámainjan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638718,ROM 12.13,galaistjandans,ga-laistjan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638720,ROM 12.14,þiuþjaiþ,þiuþjan,optative,plural,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638725,ROM 12.14,þiuþjaiþ,þiuþjan,optative,plural,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638728,ROM 12.14,unþiuþjaiþ,un-þiuþjan,optative,plural,TRUE,FALSE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638730,ROM 12.15,faginon,faginon,infinitive,NA,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
638734,ROM 12.15,gretan,gretan,infinitive,NA,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE
638743,ROM 12.16,fraþjandans,fraþjan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE
638747,ROM 12.16,hugjandans,hugjan,participle,plural,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
638752,ROM 12.16,miþgawisandans,miþ-gawisan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638755,ROM 12.16,wairþaiþ,wairþan,optative,plural,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,NA
638766,ROM 12.17,usgibandans,us-giban,participle,plural,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638768,ROM 12.17,bisaiƕandans,bi-saiƕan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE
638793,ROM 12.18,habandans,haban,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,FALSE
638798,ROM 12.19,gawrikandans,ga-wrikan,participle,plural,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
